CommandChannel,TrueOffset,PrimaryEstimate,PrimarySignedError,TheoreticalIndividualEstimateStd,Theoretical95Lower,Theoretical95Upper,MonteCarloMean,MonteCarloIndividualEstimateStd,MonteCarloMeanStandardError,MonteCarloSignedError,MonteCarloRMSE
Pursuer,0.04,0.0400013670290087,1.36702900870034e-06,7.29141629615436e-06,0.0399857088240595,0.0400142911759405,0.0400001705159895,7.56647099217876e-06,2.3927282184879e-07,1.70515989515729e-07,7.56460887917419e-06
Evader,-0.01,-0.0102874375526748,-0.000287437552674803,0.00066388179144464,-0.0113012083112315,-0.0086987916887685,-0.0100314465186303,0.000641591316559207,2.0288898873132e-05,-3.14465186302924e-05,0.000642041012397695
