ExecutionCase,StateCostComponent,PursuerCostComponent,EvaderCostComponent,SignedFiniteWindowGameCost,SignedCostChangeFromNominal,AbsoluteCostRecoveryError,MaximumCostWeightedStateDeviation,AsymptoticCostWeightedDeviation,MaximumAnalyticalMismatch,MaximumPursuerChannelError,MaximumEvaderChannelError
Nominal,3242.43995416033,44.2829784888022,116.864120289241,3169.85881235989,0,0,0,0,0,1.11022302462516e-16,2.22044604925031e-16
Without Compensation,3235.480119271,49.9525077707348,114.22701149397,3171.20561554776,1.34680318786968,1.34680318786968,0.0412862883672527,0.0412873578218585,2.68696257136933e-15,0.04,0.0100000000000002
Estimated Compensation,3242.50666963864,44.283702791286,116.93160904582,3169.85876338411,-4.89757826471759e-05,4.89757826471759e-05,0.000113499459649242,0.000113512029318261,4.68460249305392e-15,1.36702900876973e-06,0.000287437552675129
Exact Compensation,3242.43995416033,44.2829784888022,116.864120289241,3169.85881235989,0,0,1.38777878078145e-17,0,1.38777878078145e-17,1.11022302462516e-16,2.22044604925031e-16
