TimeStep,NominalState1,NominalState2,NominalState3,UncompensatedState1,UncompensatedState2,UncompensatedState3,EstimatedState1,EstimatedState2,EstimatedState3,ExactState1,ExactState2,ExactState3,UncompensatedWeightedDeviation,EstimatedWeightedDeviation,ExactWeightedDeviation
0,10,5,-2,10,5,-2,10,5,-2,10,5,-2,0,0,0
1,9.49155687620854,5.2357277430005,0.989478785579781,9.49140136380854,5.2353399057005,1.02417258557978,9.4915596143652,5.23572786642239,0.989477599894006,9.49155687620854,5.2357277430005,0.989478785579781,0.0346963162355578,2.9864001079224e-06,0
2,9.04829324668462,5.41042765487117,1.19737114188393,9.04795060386848,5.40967665160184,1.23463527227826,9.04829848110117,5.41042809045105,1.19737007573962,9.04829324668462,5.41042765487117,1.19737114188393,0.0372732722477597,5.35961847611633e-06,0
3,8.66026951232304,5.53517111062045,1.19536893917396,8.65972595970154,5.53407921130254,1.2327830162922,8.66027703848805,5.53517201043587,1.1953680890124,8.66026951232304,5.53517111062045,1.19536893917396,0.0374339533068906,7.62729324200675e-06,1.77635683940025e-15
4,8.3183463773952,5.61900630088149,1.17741707425207,8.31759221757026,5.61759272390921,1.21479959746808,8.31835602218964,5.61900778683796,1.17741644511766,8.3183463773952,5.61900630088149,1.17741707425207,0.0374168411132389,9.77885149482633e-06,1.77635683940025e-15
5,8.01489746662197,5.66939459483755,1.15821461327961,8.01392555757213,5.66767594504645,1.19555279922858,8.014909082967,5.66939676398611,1.15821420310562,8.01489746662197,5.66939459483755,1.15821461327961,0.037390352957221,1.18242513499295e-05,1.79018083652472e-15
6,7.74361053528353,5.69249298210218,1.13893462568698,7.74241577101935,5.69048368628459,1.17622837050853,7.74362399768754,5.69249591102799,1.13893443169836,7.74361053528353,5.69249298210218,1.13893462568698,0.0373669390523826,1.37786994911918e-05,1.99840144432528e-15
7,7.49926389141219,5.69338151101173,1.11971828737818,7.49784282910544,5.69109418346434,1.15696840950423,7.4992790922887,5.69338525945801,1.11971830661492,7.49926389141219,5.69338151101173,1.11971828737818,0.0373473276660384,1.56562404820468e-05,1.27554914331763e-15
8,7.27753722421979,5.67625072747683,1.10061881512215,7.27588778064852,5.67369647262347,1.13782617277746,7.2775540708442,5.67625534133739,1.10061904451219,7.27753722421979,5.67625072747682,1.10061881512215,0.0373313855306814,1.74685169090477e-05,1.27554914331763e-15
9,7.07485499210911,5.64455648070845,1.08167440575775,7.07297619346381,5.64174514335128,1.11883983355469,7.07487340410346,5.64456199449863,1.08167484214994,7.07485499210911,5.64455648070845,1.08167440575775,0.0373189298535644,1.9224823962447e-05,1.33226762955019e-15
