Trial,PursuerBiasEstimate,EvaderBiasEstimate
1,0.0399995499135597,-0.010812519102124
2,0.0400020176984326,-0.0110365513108986
3,0.0400051073940442,-0.01005613762679
4,0.0400041093720488,-0.0100836444272562
5,0.0399985812467972,-0.00947896773984811
6,0.0399888863826055,-0.0108362276540739
7,0.0400057561704354,-0.0099116322251294
8,0.039993727594872,-0.00893056943250448
9,0.0399998271064201,-0.00946714647200505
10,0.0400002241155222,-0.0104002906451564
11,0.0400044697723729,-0.0102718015752557
12,0.0400026724672295,-0.0109562984081017
13,0.0399977109641496,-0.00964476731577871
14,0.0399848896416999,-0.0107717213329051
15,0.0400039960307616,-0.00976425506865704
16,0.0400063570420225,-0.0102241549236611
17,0.040010816457908,-0.00966802390389751
18,0.0399979429598686,-0.009797416706724
19,0.0400003788993027,-0.0102194245721091
20,0.039995791944793,-0.00989193089938436
21,0.0400094522358332,-0.0106234801693357
22,0.0399989446872326,-0.0105574554701849
23,0.0400020929711045,-0.0106256996718249
24,0.0400038217695071,-0.0108257252125676
25,0.039998723397801,-0.0105598373172319
26,0.0400040078959253,-0.00943281437862955
27,0.0400074262315991,-0.00991735000946795
28,0.0399887498717868,-0.0101208093883707
29,0.0399975208953973,-0.0102586149222882
30,0.0400015782086872,-0.0100251872330469
31,0.0399898112841351,-0.011229673039119
32,0.0399990205949363,-0.00928649264895951
33,0.0400015675676991,-0.0101430893300902
34,0.0399990232453898,-0.010569443045711
35,0.0399909303623815,-0.00927016755788289
36,0.0399972536019207,-0.0108181481760121
37,0.0400006275932539,-0.0101999904431422
38,0.0400071268401982,-0.0116726193401726
39,0.039994980028223,-0.00994013693689415
40,0.0400030370211356,-0.0100247658656481
41,0.0400017883220431,-0.0103271536364244
42,0.0400024301137654,-0.00891896966816745
43,0.0399989094490373,-0.00959317014360053
44,0.0400016026786305,-0.0106677828173364
45,0.0399931464333506,-0.00950235002824448
46,0.0400064141887868,-0.0109268924180256
47,0.0400004389401568,-0.00988193121784785
48,0.0400091987389123,-0.00967072387167883
49,0.0399950147963127,-0.0104959033820119
50,0.0400064747846293,-0.00918524659088991
51,0.0399911620602994,-0.0088650523226976
52,0.040000128686827,-0.0105908333534922
53,0.0400041663096509,-0.00945398671219673
54,0.0400021237187839,-0.00987911594450948
55,0.0400105229119309,-0.0090994950638937
56,0.0400155554791148,-0.00980888812472791
57,0.0400076556588399,-0.0103237803832278
58,0.0400035965102063,-0.0102675412648204
59,0.0400019442846269,-0.00972076566393198
60,0.0399993059996895,-0.00910316656566978
61,0.0400052067181131,-0.00812235252218363
62,0.0399973157043707,-0.00903653334296874
63,0.0399934589464396,-0.0102049712854597
64,0.039988959485689,-0.00929379161284336
65,0.0400047165981464,-0.00987272811980491
66,0.0400073159614501,-0.00944575952619963
67,0.0400090228328475,-0.00991450736684087
68,0.0399990254904055,-0.0114732221601692
69,0.0400050252086554,-0.00908793352467791
70,0.0399929513182185,-0.01098497870554
71,0.0400093384592459,-0.00997465526050345
72,0.039994876959757,-0.0100512595431407
73,0.0399981294307395,-0.0110606587159067
74,0.0400114027308733,-0.0105473845901191
75,0.0399929248398321,-0.00942861697821149
76,0.0400041637493379,-0.0111005555424721
77,0.0400136130102613,-0.00982998492293124
78,0.0400003754800861,-0.0110884115748977
79,0.0399952345436099,-0.00989893484584178
80,0.0399953965266291,-0.00998263236022031
81,0.0399999480932512,-0.011287238536184
82,0.0399968223500958,-0.0104532432038541
83,0.0400012593274906,-0.0100686030269404
84,0.0400048484386772,-0.0097278177948995
85,0.0399962660046067,-0.00979707197501885
86,0.0399891353756315,-0.00951092529450662
87,0.0400068300359025,-0.00949917711854744
88,0.0400002504605253,-0.0108524864950054
89,0.039997378540904,-0.00914042711705108
90,0.0399859851986441,-0.00925712422942553
91,0.0400009638661718,-0.0113038533183063
92,0.0400050974166089,-0.0105253492266743
93,0.0400080053327417,-0.0104896866442351
94,0.0399993046657405,-0.00985728911716663
95,0.0400101803525251,-0.0108869270783756
96,0.0400010341148044,-0.00880325853721843
97,0.039987568169856,-0.0105434845190406
98,0.0399931174725078,-0.0100926401044182
99,0.0400067163687124,-0.0104219193412201
100,0.0400166533683909,-0.0100600637965383
101,0.0400023397886494,-0.00960099332042435
102,0.0399950666923338,-0.00998062426163362
103,0.0399807268469264,-0.0101293610157136
104,0.0399987878946991,-0.00986299080384964
105,0.0400053474723569,-0.0099495315507073
106,0.04000881938802,-0.0103001756170398
107,0.0399928734398946,-0.010826020885242
108,0.0399952239005922,-0.00999700599800628
109,0.0400093379442802,-0.00990633398450858
110,0.0399974619511761,-0.00994058354245111
111,0.0400021075649934,-0.0106902339872197
112,0.040001886321805,-0.0105016908142783
113,0.0400006986016909,-0.0105786517400147
114,0.0400018266054835,-0.00980211330418579
115,0.0400041922093219,-0.0104281649098256
116,0.0399961742786917,-0.0104821915070804
117,0.0400027624954486,-0.0108757048994305
118,0.0400079133586788,-0.00960198593334934
119,0.0399999307875971,-0.0101868738061179
120,0.0400027043726262,-0.00992943202432974
121,0.0399986686385691,-0.0104964236521301
122,0.0400091554514331,-0.0116221240817547
123,0.0400046624570561,-0.00979417963822369
124,0.039997007944594,-0.00918100038577661
125,0.0399926887707732,-0.0104080190665064
126,0.0400193336269812,-0.00904764051773359
127,0.0400100842633907,-0.00963345609295053
128,0.0399973973235439,-0.0106463473512802
129,0.040009125773509,-0.00994380887347158
130,0.0399933459537262,-0.00941728830672436
131,0.0399994752729039,-0.0093807689984787
132,0.0399924096623055,-0.00953715864358185
133,0.0399931260791515,-0.0097517545419771
134,0.0399933270960582,-0.0087648217092993
135,0.0400024458734546,-0.01086818270654
136,0.0400014282829337,-0.0101508404607102
137,0.0399995542910193,-0.0106331394355957
138,0.0400026195275674,-0.0103930644663287
139,0.0400003400707036,-0.00920915117671492
140,0.0400021985247122,-0.010108745943005
141,0.0400053009302489,-0.00971293379662585
