Case,SignedCost,CostChangeFromNominal,MaximumWeightedDeviation,FinalWeightedDeviation,AnalyticalMismatch
Nominal,3169.85881235989,0,0,0,0
Uncompensated,3171.20561554657,1.34680318667961,0.0412862883674501,0.0412862883674501,3.14920031894575e-15
Estimated Compensation,3169.85876338411,-4.89757785544498e-05,0.000113499459648931,0.000113499459648931,5.1457817310612e-15
Exact Compensation,3169.85881235989,0,1.99840144432528e-15,2.0463867241566e-18,1.99840144432528e-15
