TimeStep,PursuerPolicyNominal,PursuerCommandNominal,PursuerRealizedNominal,PursuerPolicyUncompensated,PursuerCommandUncompensated,PursuerRealizedUncompensated,PursuerPolicyEstimated,PursuerCommandEstimated,PursuerRealizedEstimated,PursuerPolicyExact,PursuerCommandExact,PursuerRealizedExact,EvaderPolicyNominal,EvaderCommandNominal,EvaderRealizedNominal,EvaderPolicyUncompensated,EvaderCommandUncompensated,EvaderRealizedUncompensated,EvaderPolicyEstimated,EvaderCommandEstimated,EvaderRealizedEstimated,EvaderPolicyExact,EvaderCommandExact,EvaderRealizedExact
23,0.824372829135449,0.824372829135449,0.824372829135449,0.820990869866615,0.820990869866615,0.860990869866615,0.824377378589363,0.784376011560354,0.824376011560354,0.824372829135449,0.784372829135449,0.824372829135449,1.33889634678035,1.33889634678035,1.33889634678035,1.33746385299241,1.33746385299241,1.32746385299241,1.33890385378527,1.34919129133794,1.33919129133794,1.33889634678035,1.34889634678035,1.33889634678035
24,0.809550907640818,0.809550907640818,0.809550907640818,0.806137933760152,0.806137933760152,0.846137933760152,0.809555613747267,0.769554246718259,0.809554246718259,0.809550907640818,0.769550907640818,0.809550907640818,1.31465699135865,1.31465699135865,1.31465699135865,1.31317422851893,1.31317422851893,1.30317422851893,1.31466475321196,1.32495219076463,1.31495219076463,1.31465699135865,1.32465699135865,1.31465699135865
25,0.794989097978396,0.794989097978396,0.794989097978396,0.791545671064825,0.791545671064825,0.831545671064825,0.794993957937033,0.754992590908024,0.794992590908024,0.794989097978396,0.754989097978396,0.794989097978396,1.29087204987962,1.29087204987962,1.29087204987962,1.28933991841636,1.28933991841636,1.27933991841636,1.29088006192798,1.30116749948066,1.29116749948066,1.29087204987962,1.30087204987962,1.29087204987962
26,0.780683948183106,0.780683948183106,0.780683948183106,0.777210619271913,0.777210619271913,0.817210619271913,0.780688959239898,0.74068759221089,0.78068759221089,0.780683948183106,0.740683948183106,0.780683948183106,1.26753030423255,1.26753030423255,1.26753030423255,1.26594968936356,1.26594968936356,1.25594968936356,1.26753856191668,1.27782599946936,1.26782599946936,1.26753030423255,1.27753030423255,1.26753030423255
27,0.766631853283002,0.766631853283002,0.766631853283002,0.763129163128752,0.763129163128752,0.803129163128752,0.766637012730126,0.726635645701117,0.766635645701117,0.766631853283002,0.726631853283002,0.766631853283002,1.24462126470463,1.24462126470463,1.24462126470463,1.24299303653358,1.24299303653358,1.23299303653358,1.24462976355591,1.25491720110859,1.24491720110859,1.24462126470463,1.25462126470463,1.24462126470463
28,0.752829095491091,0.752829095491091,0.752829095491091,0.749297574813151,0.749297574813151,0.789297574813151,0.752834400666696,0.712833033637688,0.752833033637688,0.752829095491091,0.712829095491091,0.752829095491091,1.22213506534632,1.22213506534632,1.22213506534632,1.2204600789881,1.2204600789881,1.2104600789881,1.22214380098363,1.23243123853631,1.22243123853631,1.22213506534632,1.23213506534632,1.22213506534632
29,0.739271877162467,0.739271877162467,0.739271877162467,0.735712046875634,0.735712046875634,0.775712046875634,0.739277325450344,0.699275958421335,0.739275958421335,0.739271877162467,0.699271877162467,0.739271877162467,1.20006237713629,1.20006237713629,1.20006237713629,1.19834147286579,1.19834147286579,1.18834147286579,1.20007134526324,1.21035878281591,1.20035878281591,1.20006237713629,1.21006237713629,1.20006237713629
30,0.725956347779367,0.725956347779367,0.725956347779367,0.722368719211695,0.722368719211695,0.762368719211695,0.725961936608532,0.685960569579523,0.725960569579523,0.725956347779367,0.685956347779367,0.725956347779367,1.17839433585777,1.17839433585777,1.17839433585777,1.17662833927707,1.17662833927707,1.16662833927707,1.1784035322602,1.18869096981288,1.17869096981288,1.17839433585777,1.18839433585777,1.17839433585777
31,0.7128786260071,0.7128786260071,0.7128786260071,0.70926370110666,0.70926370110666,0.74926370110666,0.712884352851317,0.672882985822308,0.712882985822308,0.7128786260071,0.6728786260071,0.7128786260071,1.15712248213489,1.15712248213489,1.15712248213489,1.15531220435488,1.15531220435488,1.14531220435488,1.15713190267852,1.1674193402312,1.1574193402312,1.15712248213489,1.16712248213489,1.15712248213489
32,0.700034817682328,0.700034817682328,0.700034817682328,0.696393089214341,0.696393089214341,0.736393089214341,0.700040680059583,0.660039313030574,0.700039313030574,0.700034817682328,0.660034817682328,0.700034817682328,1.13623871152095,1.13623871152095,1.13623871152095,1.13438494935409,1.13438494935409,1.12438494935409,1.13624835214928,1.14653578970196,1.13653578970196,1.13623871152095,1.14623871152095,1.13623871152095
