Iteration,ValueMatrixChange,PursuerGainChange,EvaderGainChange,ClosedLoopRadius,GameMatrixRcond,PursuerCurvature,EvaderCurvature
1,1.1809203462326,0.0667583711420292,0.0162993115511714,0.981699394913687,0.568048671767523,1.76002085611002,-0.999833134729946
2,1.03915229425719,0.00436704700412787,0.00691894836880993,0.981710874309232,0.567949441718885,1.76013932285195,-0.999767608753409
3,0.950210378775831,0.00413428028308971,0.0064486658869187,0.981721608083226,0.56786846564077,1.76020830115121,-0.99970985700883
4,0.890062614838059,0.00395016140206099,0.00610143012974275,0.981731696175395,0.567791443635815,1.76027190924972,-0.999657932548154
5,0.845203153255511,0.00379301204378008,0.00582064673812679,0.981741209757084,0.567717872539582,1.76033145623941,-0.999610478809259
6,0.808504679444084,0.00365119612568154,0.00557720637049348,0.981750208149078,0.567647428412492,1.76038768669126,-0.999566544581736
7,0.776343536823133,0.00351891135642017,0.00535639878178982,0.981758741623825,0.567579860161913,1.76044112109993,-0.999525457472527
8,0.746908167685932,0.00339328716762086,0.00515078855058221,0.981766852947718,0.567514967681824,1.76049212849571,-0.999486737293749
9,0.719294245694575,0.00327288665650561,0.00495654759015751,0.981774578631861,0.567452587015393,1.76054097503284,-0.99945003671509
10,0.693044263050956,0.00315696909635219,0.00477162226570394,0.981781949982486,0.567392580125248,1.76058785696223,-0.999415100550005
11,0.667919189324954,0.00304513100419063,0.00459483178005058,0.981788993979756,0.567334827824603,1.76063292297595,-0.999381737786749
12,0.643786667922442,0.002937131917177,0.00442542851300543,0.981795734009006,0.567279224875692,1.7606762893283,-0.999349802343599
13,0.620566609361001,0.00283280980677808,0.00426288463347085,0.981802190466578,0.567225676575834,1.76071805005304,-0.99931917980148
14,0.598204784499972,0.00273203999273472,0.00410678867940913,0.981808381260191,0.567174096366151,1.76075828385544,-0.999289778236365
15,0.576660014680188,0.00263471522841224,0.00395679527118677,0.981814322221262,0.567124404144559,1.76079705875308,-0.999261521866987
16,0.555897951466766,0.00254073613815335,0.00381260036748157,0.98182002744418,0.567076525064875,1.76083443519478,-0.999234346638579
17,0.535888048108384,0.00245000674179119,0.00367392874606768,0.981825509565203,0.567030388672366,1.76087046815308,-0.999208197140162
18,0.516602077299722,0.00236243248684463,0.00354052732110675,0.981830779991655,0.566985928272925,1.76090520852607,-0.999183024442186
19,0.498013398673905,0.00227791951309528,0.00341216125539539,0.981835849090299,0.566943080465171,1.76093870407566,-0.999158784570789
20,0.480096590225738,0.00219637451241443,0.00328861143253447,0.981840726342247,0.56690178478671,1.760971000056,-0.999135437423608
21,0.462827256641765,0.0021177048623364,0.00316967261874439,0.981845420470473,0.566861983440928,1.76100213963552,-0.9991129459928
22,0.446181923756636,0.00204181887016419,0.00305515200394872,0.981849939544928,0.566823621080986,1.76103216418222,-0.999091275802611
23,0.430137975005897,0.00196862604508543,0.00294486797846852,0.98185429106935,0.566786644634867,1.76106111345877,-0.999070394497411
24,0.414673608394426,0.00189803735762975,0.00283864907727886,0.981858482053123,0.566751003160173,1.76108902575864,-0.999050271535803
25,0.399767803518958,0.00182996546782657,0.00273633305714922,0.981862519070917,0.566716647720807,1.76111593800398,-0.999030877959951
26,0.385400293557983,0.00176432491511041,0.00263776608626835,0.981866408312353,0.566683531279974,1.76114188581871,-0.999012186218596
27,0.371551539770808,0.00170103226917718,0.00254280203193257,0.981870155623512,0.56665160860558,1.76116690358604,-0.998994170028717
28,0.35820270733565,0.00164000624412881,0.00245130183445639,0.981873766541769,0.56662083618523,1.76119102449602,-0.998976804265236
29,0.345335641987777,0.00158116777970098,0.00236313295678194,0.981877246325169,0.566591172148824,1.76121428058693,-0.998960064871295
30,0.332932847226683,0.00152444009388659,0.00227816890021035,0.981880599977339,0.56656257619727,1.76123670278285,-0.998943928783794
31,0.320977462009123,0.00146974871127126,0.00219628877754166,0.981883832268705,0.566535009536273,1.76125832092892,-0.998928373870385
32,0.309453238913504,0.00141702147112728,0.00211737693579598,0.981886947754709,0.566508434814374,1.76127916382501,-0.998913378875193
33,0.298344522790194,0.00136618851891222,0.00204132262157357,0.981889950791533,0.566482816064668,1.76129925925845,-0.99889892337128
34,0.287636229922237,0.00131718228437235,0.00196801968297829,0.981892845549763,0.566458118649718,1.76131863403606,-0.998884987718398
35,0.277313827721378,0.00126993744900635,0.00189736630284244,0.981895636026361,0.566434309209322,1.76133731401553,-0.998871553024963
36,0.267363314980664,0.00122439090522712,0.00182926475873985,0.981898326055222,0.566411355610844,1.76135532413621,-0.998858601113448
37,0.257771202699578,0.00118048170918083,0.00176362120594026,0.981900919316542,0.56638922690188,1.76137268844943,-0.998846114488592
38,0.248524495492173,0.0011381510288513,0.00170034548004837,0.981903419345221,0.56636789326507,1.76138943014812,-0.998834076307968
39,0.239610673583288,0.00109734208878801,0.00163935091657807,0.981905829538414,0.566347325974901,1.76140557159585,-0.998822470354557
40,0.231017675393404,0.00105800011255162,0.00158055418514955,0.981908153162394,0.566327497356367,1.76142113435516,-0.998811281011046
41,0.222733880708683,0.00102007226376194,0.00152387513636862,0.981910393358822,0.566308380745358,1.76143613921528,-0.998800493235641
42,0.214748094429453,0.000983507586460735,0.00146923665975854,0.981912553150493,0.566289950450701,1.76145060621894,-0.998790092539214
43,0.207049530887804,0.000948256945356801,0.00141656455137842,0.981914635446663,0.566272181717736,1.76146455468862,-0.998780064963639
